parsed_duration,parsed_name,parsed_objectives,parsed_price,parsed_sku,parsed_url,processed_duration,processed_price
2 jours - 14 h,Formation Professionnaliser sa veille et ses recherches sur le web,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Au-delà de Google, acquérir une méthodologie de recherche avancée sur internet</li><li>Exploiter toutes les possibilités offertes par le web 2.0 pour fiabiliser sa veille</li></ul>
                                            </div>",1 600 €,KR09,https://www.comundi.fr/formation-veille-et-recherches-sur-internet/formation-professionnaliser-sa-veille-et-ses-recherches-sur-le-web.html,14,1600
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Managers : adoptez les bons réflexes face aux risques psychosociaux,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Comprendre votre rôle et maîtriser vos responsabilités face aux risques psychosociaux
</li><li>Savoir adopter les bons modes de communication et de management
</li><li>Contribuer à la prévention et générer une meilleure dynamique d'équipe</li></ul>
                                            </div>",,CD42,https://www.comundi.fr/formation-pratiques-rh-pour-manager/managers-adoptez-les-bons-reflexes-face-aux-risques-psychosociaux.html,,
2 jours - 14 h,Formation : Prise de parole en anglais,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Prendre la parole avec assurance devant un public international
</li><li>Travailler sur les accroches et les enchaînements
</li><li>Trouver la juste expression !</li></ul>
                                            </div>",1 300 €,CY11,https://www.comundi.fr/formation-travailler-en-anglais/formation-prise-de-parole-en-anglais.html,14,1300
2 jours - 14 h,Formation : Choisir le traitement de surface adapté à son matériau et ses applications,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Appréhender les différents traitements de surface et leur mise en œuvre</li>
<li>Sélectionner le traitement de surface adapté en fonction du matériau et des utilisations</li>
<li>Déterminer les performances et les utilisations des matériaux métalliques</li>
</ul>
                                            </div>",1 300 €,2253,https://www.comundi.fr/formation-traitements-de-surface/formation-choisir-le-traitement-de-surface-adapte-a-son-materiau-et-ses-applications.html,14,1300
2 jours - 14 h,Formations : Le leadership du chef de projet,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Agir en leader pour fédérer l’équipe projet</li>
<li>Gagner en légitimité et accroître son pouvoir d’influence</li>
<li>Faire face aux problèmes et aux situations difficiles</li>
</ul>
                                            </div>",1 300 €,5063,https://www.comundi.fr/formation-se-perfectionner-au-management-de-projet/formations-le-leadership-du-chef-de-projet.html,14,1300
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Contrôle de gestion à l'hôpital,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Adapter votre contrôle de gestion aux besoins des pôles
</li><li>Optimiser l'exploitation de vos tableaux de bord 
</li><li>Identifier vos objectifs stratégiques et les décliner en indicateurs pertinents</li></ul>
                                            </div>",,GS06,https://www.comundi.fr/formation-finances-hospitalieres/formation-controle-de-gestion-a-l-hopital.html,,
,La Semaine de la Formation professionnelle 2019,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Maîtriser la nouvelle réglementation</li>
<li>Monter en compétence en tant que responsable formation ou formateur</li>
<li>Adopter une politique formation efficace</li>
<li>Intégrer des solutions pédagogiques innovantes dans ses formations</li>
</ul>
                                            </div>",,BM04,https://www.comundi.fr/formation-management-de-la-formation/la-semaine-de-la-formation-professionnelle-2019.html,35,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Mieux comprendre l’assurance RC médicale pour en maîtriser le coût,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Appréhender les mécanismes de mise en jeu de l’assurance responsabilité civile des établissements et professionnels de santé</li>
<li>Disposer des clés de négociation et de maîtrise des coûts de l’assurance</li>
<li>Sécuriser vos pratiques</li>
</ul>
                                            </div>",,5434,https://www.comundi.fr/formation-strategies-hospitalieres-filieres-et-cooperations/mieux-comprendre-l-assurance-rc-medicale-pour-en-maitriser-le-cout.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Etre efficace en télétravail,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Clarifier son rapport au télétravail et organiser son planning</li><li>Adapter sa communication pour maintenir le lien
</li><li>Bien gérer son autonomie l</li></ul>
                                            </div>",,2823,https://www.comundi.fr/formation-s-organiser-et-gagner-du-temps/formation-etre-efficace-en-teletravail.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Prévenir et gérer les conflits sociaux,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Comprendre les origines et les mécanismes des conflits sociaux
</li><li>S'approprier les outils permettant de mieux prévenir les tensions au sein de votre structure 
</li><li>Savoir réagir et rebondir face à une crise sociale</li></ul>
                                            </div>",,mc38,https://www.comundi.fr/formation-dialogue-social/prevenir-et-gerer-les-conflits-sociaux.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,"Formation: Juriste, devenez un conseil privilégié","<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Renforcer son image de business partner</li>
<li>Contribuer et faire adhérer aux bests practices</li>
<li>Adapter son comportement aux situations délicates</li>
</ul>
                                            </div>",,VA08,https://www.comundi.fr/formation-performance-du-juriste/formation-juriste-devenez-un-conseil-privilegie.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation Atelier : créer votre charte éditoriale,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Apprendre à poser les bases stratégiques de votre projet éditorial</li>
<li>Gagner du temps grâce à un véritable filtre à décisions utile et efficace au quotidien</li>
<li>Construire votre propre charte éditoriale étape par étape</li>
</ul>
                                            </div>",,4500,https://www.comundi.fr/formation-strategie-de-contenu/formation-atelier-creer-votre-charte-editoriale.html,,
2 jours - 14 h,Formation: Travailler avec les personnalités difficiles,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Identifier les causes réelles des relations ou collaborations difficiles</li>
<li>Provoquer le dialogue avant que «ça explose»</li>
<li>S'ajuster... sans se soumettre !</li>
</ul>
                                            </div>",1 300 €,LR04,https://www.comundi.fr/formation-stress-equilibre-et-bien-etre-au-travail/formation-travailler-avec-les-personnalites-difficiles.html,14,1300
2 jours - 14 h,Formation : Stratégie de communication sur les réseaux sociaux,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Intégrer avec pertinence les réseaux sociaux, leurs dernières tendances, pour booster sa communication</li>
<li>Elaborer une stratégie de communication sociale adaptée à ses différents publics externes et internes</li>
<li>Améliorer et évaluer l'efficacité de ses actions de communication sociales</li>
</ul>
                                            </div>",1 595 €,BJ08,https://www.comundi.fr/formation-digital-marketing-communication/formation-strategie-de-communication-sur-les-reseaux-sociaux.html,14,1595
2 jours - 14 h,Formation : Stratégie de compte,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Se positionner comme « business developper » pour initier de nouveaux projets chez vos grands comptes 
</li><li>Adopter une stratégie d'approche structurée et ajustée aux réalités du compte
</li><li>Qualifier méthodiquement les opportunités pour éliminer les impasses qui font perdre du temps</li></ul>
                                            </div>",1 595 €,DS22,https://www.comundi.fr/formation-ventes-de-haut-niveau/formation-strategie-de-compte.html,14,1595
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Profession Assistant(e),"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Maîtriser les compétences fondamentales du métier d'assistante
</li><li>S'approprier les bons outils pour développer sa performance et son efficacité professionnelle
</li><li>Renforcer excellence relationnelle, autonomie et confiance en soi</li></ul>
                                            </div>",,2097,https://www.comundi.fr/formation-assistante-assistante-de-direction/formation-profession-assistant-e.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Domicile de secours : maîtriser les mécanismes d’imputation et les incidences dans l’attribution des aides sociales,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Maîtriser l'identification du domicile de secours des PAPH</li>
<li>Recadrer les procédures à respecter pour l'imputation du DS à charge d'un département ou de l’État</li>
<li>Assurer un recouvrement optimal des créances imputables à un changement de DS</li>
</ul>
                                            </div>",,4354,https://www.comundi.fr/formation-aides-et-prestations-aux-personnes-agees-et-personnes-handicapees/formation-domicile-de-secours-maitriser-les-mecanismes-d-imputation-et-les-incidences-dans-l-attribution-des-aides-sociales.html,,
2 jours - 14 h,Formation : Droit social et protection sociale des étrangers après la réforme de 2016,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Maîtriser le droit de la protection sociale des étrangers séjournant en France</li>
<li>Être en mesure de répondre aux besoins des usagers</li>
<li>Appréhender les voies de recours des usagers et éviter tout risque de contentieux</li>
</ul>
                                            </div>",1 300 €,3360,https://www.comundi.fr/formation-protection-sociale-des-ressortissants-etrangers-et-insertion/formation-droit-social-et-protection-sociale-des-etrangers-apres-la-reforme-de-2016.html,14,1300
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation Dispositifs et modalités de prises en charges des majeurs protégés,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Connaître les différents modes de protection et maîtriser le contenu des régimes d’accompagnement</li>
<li>Identifier les droits des majeurs protégés quant à leur personne et à leur patrimoine</li>
<li>Etre en mesure d'informer et d'accompagner les usagers et leur famille en fonction de chaque situation</li>
</ul>
                                            </div>",,3591,https://www.comundi.fr/formation-dispositifs-de-protections-des-personnes-protegees/formation-dispositifs-et-modalites-de-prises-en-charges-des-majeurs-proteges.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation Accès aux droits et prestations pour les enfants en situation de handicap,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Connaître et identifier l’ensemble des acteurs, des dispositifs et des prestations</li>
<li>Comprendre et savoir se positionner dans le cadre réglementaire et institutionnel</li>
<li>Maîtriser le circuit du dossier et des différentes demandes afin d’assurer une information précise et une meilleure orientation</li>
<li>Savoir accompagner les parents, y compris dans le cadre de la conciliation et du contentieux</li>
</ul>
                                            </div>",,3668,https://www.comundi.fr/formation-aides-et-prestations-aux-personnes-agees-et-personnes-handicapees/formation-acces-aux-droits-et-prestations-pour-les-enfants-en-situation-de-handicap.html,,
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Le nouveau dispositif de l’Aide Personnalisée à l’Autonomie (APA),"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Appréhender la nouvelle réglementation de l’APA suite à la Loi relative à l’adaptation de la société au vieillissement</li>
<li>Maîtriser les nouvelles modalités de calcul et de financement de l’APA</li>
<li>Comprendre le parcours du dossier afin d’améliorer l’information et le suivi du demandeur</li>
</ul>
                                            </div>",,2682,https://www.comundi.fr/formation-aides-et-prestations-aux-personnes-agees-et-personnes-handicapees/formation-le-nouveau-dispositif-de-l-aide-personnalisee-a-l-autonomie-apa.html,,
2 jours - 14 h,Formation : Se concentrer,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Acquérir des méthodes pour gagner en concentration</li><li>Avancer plus rapidement au quotidien… même sur les tâches fastidieuses
</li><li>Bien organiser son rythme de travail</li></ul>
                                            </div>",1 300 €,RC71,https://www.comundi.fr/formation-s-organiser-et-gagner-du-temps/formation-se-concentrer.html,14,1300
2 jours - 14 h,Formation : La gestion des réclamations clients,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Identifier les différents comportements des clients </li><li>Apporter au client interne et externe une information de qualité
</li><li>Gérer les réclamations et maîtriser les situations difficiles</li></ul>
                                            </div>",1 395 €,2216,https://www.comundi.fr/formation-relation-client/formation-la-gestion-des-reclamations-clients.html,14,1395
1 jour - 7 h,Formation : Intégrez les médias sociaux dans votre service client,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Comprendre les impacts des médias sociaux dans une stratégie relationnelle.</li>
<li>Intégrer les canaux relationnels adaptés aux objectifs de l’entreprise.</li>
<li>Savoir mettre en œuvre un service client pertinent sur chaque canal 2.0.</li>
<li>Optimiser le cycle relationnel : qualité / satisfaction / fidélisation / achat / recommandation.</li>
</ul>
                                            </div>",995 €,2058,https://www.comundi.fr/formation-relation-client/formation-integrez-les-medias-sociaux-dans-votre-service-client.html,7,995
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Assistant (e) RH : renforcer son efficacité et optimiser son organisation,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Gérer son activité et ses missions de manière optimale </li>
<li>Améliorer sa posture et sa communication pour devenir un interlocuteur RH clé</li>
<li>Faire évoluer ses missions pour obtenir plus de responsabilités</li>
</ul>
                                            </div>",,MC24,https://www.comundi.fr/formation-defense-des-salaries/formation-assistant-e-rh-renforcer-son-efficacite-et-optimiser-son-organisation.html,,
2 jours - 14 h,Formation : Oser se démarquer au travail : savoir faire la différence !,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Faire preuve d’assurance, savoir être fier de soi et de ses compétences</li>
<li>Soigner sa communication pour se faire remarquer et être reconnu à sa juste valeur</li>
<li>Mettre en avant sa créativité, apprendre à « challenger » ses N+1 au quotidien !</li>
</ul>
                                            </div>",1 300 €,4503,https://www.comundi.fr/formation-gestion-des-emotions-assertivite-et-confiance-en-soi/formation-oser-se-demarquer-au-travail-savoir-faire-la-difference.html,14,1300
2 jours - 14 h,Formation : Gérer ses émotions dans un contexte professionnel,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Connaître ses propres « signaux d'alerte » pour mieux les accepter</li><li>Apprendre à canaliser les émotions des autres
</li><li>Dominer les colères et désamorcer les conflits pour contribuer à l'harmonie de l'équipe</li></ul>
                                            </div>",1 300 €,VO31,https://www.comundi.fr/formation-efficacite-professionnelle-de-l-assistante/formation-gerer-ses-emotions-dans-un-contexte-professionnel.html,14,1300
4 jours - 28 h,Formation : Maîtriser la rédaction des conventions,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Connaître les règles de rédaction des conventions</li>
<li>Savoir évaluer les responsabilités juridiques afférentes aux conventions</li>
<li>Disposer d’un guide rédactionnel</li>
</ul>
                                            </div>",1 960 €,3358,https://www.comundi.fr/formation-procedure-de-passation-des-marches-publics/formation-maitriser-la-redaction-des-conventions.html,28,1960
4 jours - 28 h,Formation : Maîtriser la Prestation de Compensation du Handicap (PCH Adultes / Enfants),"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Resituer chaque acteur institutionnel dans le champ du handicap</li>
<li>Clarifier les règles d’ouverture des droits et de calcul du montant de PCH</li>
<li>Distinguer la PCH à domicile et en établissement</li>
</ul>
                                            </div>",1 990 €,3341,https://www.comundi.fr/formation-aides-et-prestations-aux-personnes-agees-et-personnes-handicapees/formation-maitriser-la-prestation-de-compensation-du-handicap-pch-adultes-enfants.html,28,1990
3 jours - 21 h,Formation : Maîtriser l'aide sociale aux personnes handicapées en établissement,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Maîtriser l'ensemble des aides sociales aux personnes handicapées placées en établissement</li>
<li>Connaître la jurisprudence applicable afin de pouvoir s'en prévaloir et sécuriser ses pratiques </li>
<li>Diffuser une information pertinente aux personnes handicapées et à leur famille</li>
</ul>
                                            </div>",1 795 €,3340,https://www.comundi.fr/formation-aides-et-prestations-aux-personnes-agees-et-personnes-handicapees/formation-maitriser-l-aide-sociale-aux-personnes-handicapees-en-etablissement.html,21,1795
2 jours - 14 h,Formation : Maîtriser l'aide sociale aux personnes âgées en établissement,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Appréhender les conditions d'accès à l'aide sociale aux personnes âgées en établissement</li>
<li>Identifier l'ensemble des acteurs de l'octroi et du suivi de l'aide sociale aux personnes âgées</li>
<li>Pouvoir diffuser des informations essentielles sur l'aide sociale aux personnes âgées et à leur famille</li>
</ul>
                                            </div>",1 300 €,3088,https://www.comundi.fr/formation-aides-et-prestations-aux-personnes-agees-et-personnes-handicapees/formation-maitriser-l-aide-sociale-aux-personnes-agees-en-etablissement.html,14,1300
3 jours - 21 h,Formation : Les prestations sociales aux personnes handicapées de A à Z,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Situer les acteurs institutionnels dans le champ du handicap</li>
<li>Maîtriser l’ensemble des prestations de sécurité sociale et d’aide sociale aux personnes handicapées</li>
<li>Maîtriser les conditions d'octroi et le montant de ces dernières</li>
<li>Diffuser une information pertinente aux personnes handicapées et à leur famille</li>
</ul>
                                            </div>",1 750 €,3342,https://www.comundi.fr/formation-aides-et-prestations-aux-personnes-agees-et-personnes-handicapees/formation-les-prestations-sociales-aux-personnes-handicapees-de-a-a-z.html,21,1750
2 jours - 14 h,Formation : Contentieux de l’aide sociale aux personnes âgées et aux personnes handicapées (PAPH),"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Savoir identifier le juge compétent selon les aides sociales</li>
<li>Maîtriser l'organisation et le fonctionnement de chaque juridiction</li>
<li>Connaître la procédure contentieuse devant chaque juridiction</li>
<li>Appréhender les stratégies contentieuses et sécuriser les pratiques</li>
</ul>
                                            </div>",1 300 €,3332,https://www.comundi.fr/formation-aides-et-prestations-aux-personnes-agees-et-personnes-handicapees/formation-contentieux-de-l-aide-sociale-aux-personnes-agees-et-aux-personnes-handicapees-paph.html,14,1300
2 jours - 14 h,Formation : Actualité et veille juridique de l’aide sociale aux PAPH,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Connaître les évolutions des normes de l’aide sociale aux PAPH </li>
<li>Comprendre l’évolution la jurisprudence de l’aide sociale aux PAPH</li>
<li>Mesurer les incidences de ces évolutions sur les pratiques professionnelles des services d’aide sociale</li>
<li>Cerner les projets de réformes de l’aide sociale aux PAPH</li>
</ul>
                                            </div>",1 300 €,3344,https://www.comundi.fr/formation-aides-et-prestations-aux-personnes-agees-et-personnes-handicapees/formation-actualite-et-veille-juridique-de-l-aide-sociale-aux-paph.html,14,1300
4 jours - 28 h,Formation : Accueil familial à titre onéreux des personnes âgées et handicapées,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Connaître les conditions d'agrément et de rémunération des accueillants familiaux </li>
<li>Maîtriser et rédiger les clauses du contrat d'accueil</li>
<li>Articuler les diverses prestations sociales avec les spécificités de l'accueil familial</li>
</ul>
                                            </div>",1 990 €,3330,https://www.comundi.fr/formation-aides-et-prestations-aux-personnes-agees-et-personnes-handicapees/formation-accueil-familial-a-titre-onereux-des-personnes-agees-et-handicapees.html,28,1990
2 jours - 14 h,Formation : Cadre et procédures contentieuses liées au RSA,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Connaître l’encadrement légal et réglementaire du Revenu de Solidarité Active</li>
<li>Identifier les principaux objets de contentieux liés à l’allocation RSA</li>
<li>Gérer le contentieux du RSA et prévenir les risques juridiques</li>
</ul>
                                            </div>",1 300 €,3089,https://www.comundi.fr/formation-protection-sociale-des-ressortissants-etrangers-et-insertion/formation-cadre-et-procedures-contentieuses-liees-au-rsa.html,14,1300
3 jours - 21 h,Formation : Maîtriser les obligations alimentaires et assurer leur recouvrement,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Appréhender l'obligation légale de fournir une aide à un membre de sa famille</li>
<li>Connaître et évaluer les vocations alimentaires</li>
<li>Maîtriser la procédure devant le juge aux affaires familiales (JAF) et les voies de recouvrement</li>
</ul>
                                            </div>",1 750 €,3338,https://www.comundi.fr/formation-recuperation-des-aides-sociales/formation-maitriser-les-obligations-alimentaires-et-assurer-leur-recouvrement.html,21,1750
3 jours - 21 h,Formation : Maîtriser la récupération des prestations d'aide sociale,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Etre en mesure de transmettre les informations pertinentes aux usagers en fonction de chaque situation</li>
<li>Disposer de connaissances et de techniques juridiques directement opérationnelles</li>
<li>Opérer un recouvrement optimal des créances d'aide sociale</li>
</ul>
                                            </div>",1 750 €,3336,https://www.comundi.fr/formation-recuperation-des-aides-sociales/formation-maitriser-la-recuperation-des-prestations-d-aide-sociale.html,21,1750
3 jours - 21 h,Formation : Cadre et mécanismes du droit des successions,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Pouvoir déterminer les héritiers légaux et testamentaires</li>
<li>Connaître les procédures de liquidation du régime matrimonial</li>
<li>Maîtriser le contenu de la succession et son règlement</li>
</ul>
                                            </div>",1 750 €,3333,https://www.comundi.fr/formation-recuperation-des-aides-sociales/formation-cadre-et-mecanismes-du-droit-des-successions.html,21,1750
2 jours - 14 h,Assurance-vie et récupération : Quand et Comment récupérer ?,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Appréhender la nature d’un contrat d’assurance-vie selon les dispositions du droit des assurances</li>
<li>Maîtriser les différents cas de requalification en donation par la jurisprudence</li>
<li>Sécurisez les procédures de récupération</li>
</ul>
                                            </div>",1 300 €,3087,https://www.comundi.fr/formation-recuperation-des-aides-sociales/assurance-vie-et-recuperation-quand-et-comment-recuperer.html,14,1300
Cette formation est disponible en session individuelle ou intra-entreprise uniquement,Formation : Maîtriser les missions d’Assistant(e) RH,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul>
<li>Maîtriser et sécuriser ses actions en matière d’administration RH, de formation, des relations sociales et de recrutement</li>
<li>Actualiser ses connaissances juridiques et dégager des solutions pratiques pour son entreprise</li>
<li>Améliorer son efficacité et être une réelle valeur ajoutée pour la Direction</li>
</ul>
                                            </div>",,3223,https://www.comundi.fr/formation-management-des-ressources-humaines/formation-maitriser-les-missions-d-assistant-e-rh.html,,
2 jours - 14 h,Formation : Savoir travailler avec plusieurs managers,"<div id=""objectifs1"" class=""collapse in collapsed-xs"">
                                                <ul><li>Définir ses priorités</li><li>Développer des méthodes et des outils pour être plus efficace
</li><li>S'adapter aux personnalités des différents managers</li></ul>
                                            </div>",1 300 €,DM16,https://www.comundi.fr/formation-expertise-metier-1/formation-savoir-travailler-avec-plusieurs-managers.html,14,1300
